地名,センター,燃やせるごみ,燃やさないごみ,資源カン・ビン,乾電池,資源紙,資源布
青木,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,火,火
赤尾,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,火,火
浅羽,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,木,木
浅羽野一～三丁目,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,木,木
厚川,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
芦山町,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
石井,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,火,火
伊豆の山町,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
泉町,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
泉町二丁目,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
泉町三丁目,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
今西,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
欠ノ上,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
片柳,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,火,火
片柳新田,西清掃センター（清掃事務所）、東清掃センター,火 金,水1 水3 水5,水2 水4,木,火,火
金田,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
鎌倉町,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
上吉田,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,火,火
萱方,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
北浅羽,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
北大塚,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
北峰,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
けやき台,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,木,木
紺屋の一部（東坂戸団地）,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,木,木
紺屋の一部（東坂戸団地を除く）,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,火,火
小沼,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,火,火
小山,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
坂戸,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
沢木,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
三光町,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,木,木
島田,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,火,火
清水町,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
新ヶ谷,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
成願寺,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
末広町,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
関間一～四丁目,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,木,木
善能寺,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
竹之内,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
多和目,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
千代田一～五丁目（若葉台団地を除く）,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,木,木
千代田四丁目7番（若葉台団地）,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,火,火
塚越,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,火,火
塚崎,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
鶴舞一～四丁目,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
戸口,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
中里,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
仲町,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
中富町,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,木,木
長岡,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
新堀,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
西坂戸一～五丁目,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,木,木
にっさい花みず木一～八丁目,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
花影町,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,木,木
東坂戸一丁目,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,木,木
東坂戸二丁目,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,木,木
東和田,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
日の出町,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,木,木
堀込,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
本町,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
溝端町,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
南町,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,火,火
元町,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
森戸,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
薬師町,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
柳町,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
八幡一丁目,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
八幡二丁目,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
山田町,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,金,金
横沼,西清掃センター（清掃事務所）、東清掃センター,月 木,水1 水3 水5,水2 水4,木,火,火
四日市場,西清掃センター（清掃事務所）、東清掃センター,火 金,水2 水4,水1 水3 水5,金,月,月
